samples,f__[Barnesiellaceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae],f__Actinomycetaceae,f__Alcaligenaceae,f__Anaeroplasmataceae,f__Bacillaceae,f__Bacteroidaceae,f__Bifidobacteriaceae,f__Campylobacteraceae,f__Carnobacteriaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Desulfovibrionaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fusobacteriaceae,f__Gemellaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leuconostocaceae,f__Micrococcaceae,f__mitochondria,f__Moraxellaceae,f__Neisseriaceae,f__Pasteurellaceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Pseudomonadaceae,f__Rikenellaceae,f__Ruminococcaceae,f__S24-7,f__Staphylococcaceae,f__Streptococcaceae,f__Turicibacteraceae,f__unclassified,f__Veillonellaceae,f__Verrucomicrobiaceae
G35348,,,,,,,0.000983,0.000025,,,0.151185,0.010924,,,,0.000025,,0.000797,,0.000025,0.025949,0.000399,0.016704,,,,0.000042,,0.00005,0.000398,,,,0.000299,,,0.000025,0.000025,,,0.000025,0.000063,,0.00117,0.004904,,0.000063,0.001386,0.000025
G35349,,,,,0.000059,0.000148,0.000753,,,,0.03462,0.052281,,,,0.010598,,0.005181,,,0.04063,0.019149,0.035926,,,,0.055988,0.012488,,,,,,,,,,,0.00003,,0.00003,0.004613,,0.000502,0.004428,,0.000251,0.001801,
G35350,,,,,,,0.000261,0.000033,,,0.065002,0.008711,,,,0.004857,,0.000196,,,0.037938,0.00013,0.062675,,,,0.014959,0.000163,,0.000033,,0.000098,,,,,,0.000016,0.000074,,0.000033,0.003525,,,0.009075,,0.004733,0.043151,0.000016
G35351,,0.002497,,,,,0.000141,0.00065,,,0.035004,0.026645,,0.000125,0.000317,0.000907,,0.000123,0.000133,0.000008,0.003874,0.000008,0.00339,0.000047,0.000008,0.000055,0.013438,0.000008,,0.000008,,,,0.000012,,0.000012,,0.003757,0.000016,,0.022431,0.026986,0.028097,,0.001405,0.000031,0.010249,0.022556,0.002927
G35352,,,,,,,0.000601,,,,0.028289,0.059641,,,,0.003176,,0.002254,0.000043,,0.023023,0.001202,0.02054,,,,0.041035,0.001052,,0.000247,,0.000279,,,,,,0.000021,0.000086,,,0.005108,,0.00015,0.005441,,0.004615,0.037814,0.000021
G35354,,0.000027,,,,,0.005757,,,,0.0248,0.044298,,0.007366,,0.003501,,0.001109,0.000287,0.000955,0.068175,0.003356,,,,0.003465,0.00006,0.003206,,0.00161,,0.000218,,0.002046,,,0.000136,0.005716,0.000041,,0.000027,0.003295,,0.005975,0.079148,,0.000096,0.027761,0.000027
G35355,,,,,0.000195,,0.000839,,,,0.065228,0.028513,,,,0.002229,,0.001282,0.000061,0.000982,0.011802,0.0048,0.00854,,,0.000102,0.007666,0.001902,,,,0.000061,,0.000225,,,0.00002,0.006668,0.000839,,,0.004282,,0.00045,0.014451,,0.001473,0.03305,
G35356,,,,,0.000124,,0.002981,0.00005,,,0.001022,0.111983,,,,0.000028,,0.000497,0.00034,0.01141,0.012172,0.002435,0.000182,,,0.00048,0.000207,0.009911,,0.000017,,,,,,,0.000083,0.022961,0.000033,,0.000017,0.000079,,0.006144,0.018812,,0.000116,0.00036,0.000017
G35359,0.000941,0.000314,0.000355,0.000259,0.000061,,0.000505,0.000621,,,0.003098,0.028864,,0.000007,,0.002261,,0.008685,0.000027,,0.000184,0.000191,0.000327,,0.000007,0.000007,0.009481,0.018383,,0.000055,0.000014,,,0.001739,0.000007,,,0.000709,0.040774,,0.000525,0.036231,0.000007,0.000007,0.002192,,0.008445,0.03651,0.000143
G35361,0.000975,0.00006,0.00009,0.001578,0.000009,,0.000102,0.025841,,,0.004374,0.007649,,0.000018,,0.002059,,0.00017,,,0.000341,0.000057,0.000132,,0.000042,0.00012,0.00591,0.006442,,0.000048,0.000018,,,0.000261,0.000012,,0.000024,0.004182,0.174248,,0.000496,0.027239,0.000006,0.000012,0.001339,0.000006,0.005525,0.026255,0.000161
G35364,0.00314,0.00012,0.00508,0.00048,,,0.000219,0.003786,,,0.009956,0.007253,,0.000104,,0.002125,,0.001559,0.00001,0.00001,0.001012,0.000417,0.000522,,0.001711,0.000094,0.004722,0.004522,,0.000021,0.000031,,,0.002326,,0.000026,,0.002874,0.043271,,0.00921,0.03159,,,0.005168,,0.009558,0.053371,0.003046
G35365,,,,0.000019,0.000043,,0.000334,0.013878,,,0.058914,0.021829,,,,0.002112,0.000019,0.000395,0.000084,,0.002642,0.000325,0.002131,,,0.000074,0.006608,0.001288,,0.000019,,0.000574,,0.000296,,,,0.007763,0.025319,0.000019,0.000019,0.00888,,,0.01335,,0.005355,0.020799,0.00013
G35366,,,,,0.000014,,0.001099,0.000642,,,0.020915,0.023818,0.000014,0.000228,,0.001833,0.000014,0.000335,0.0001,,0.004533,0.000214,0.000014,,0.000128,0.000457,0.009399,0.000014,0.000014,0.000285,,0.000043,,0.002711,,0.000014,,0.003582,0.133003,,,0.036509,,,0.010032,0.000071,0.003206,0.00895,0.005394
