samples,o__Actinomycetales,o__Anaeroplasmatales,o__Bacillales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__Campylobacterales,o__Clostridiales,o__Coriobacteriales,o__Desulfovibrionales,o__Enterobacteriales,o__Erysipelotrichales,o__Flavobacteriales,o__Fusobacteriales,o__Gemellales,o__Lactobacillales,o__Neisseriales,o__Pasteurellales,o__Pseudomonadales,o__RF32,o__RF39,o__Rickettsiales,o__SHA-98,o__Streptophyta,o__Turicibacterales,o__unclassified,o__Verrucomicrobiales,o__YS2
G35348,0.000788,,0.000598,0.107996,0.010924,0.000025,,0.000451,0.000797,0.000025,0.025949,0.016704,,,,0.00116,,0.000299,,,,,,,,,0.000025,
G35349,0.000753,,0.000502,0.02309,0.052281,,,0.018757,0.005181,,0.04063,0.035926,0.000148,,,0.01145,,,,,,,,,,,,
G35350,0.000147,,,0.036134,0.008711,0.000033,,0.015104,0.000196,,0.037938,0.062675,,,,0.003714,,,0.000098,0.003519,,,,,,,0.000016,
G35351,0.000104,,,0.020667,0.026645,0.00065,,0.01346,0.000123,0.000008,0.003874,0.00339,,0.000008,0.000055,0.000424,,0.000012,,,,,,,0.000031,,0.002927,
G35352,0.000284,,0.00015,0.020221,0.059641,,,0.025545,0.002254,,0.023023,0.02054,,,,0.00259,,,0.000279,,,,,,,,0.000021,
G35354,0.001985,,0.003056,0.012305,0.044298,,,0.004974,0.001109,0.000955,0.068175,,,,0.003465,0.022365,,0.002046,0.000218,,,,,,,,0.000027,
G35355,0.00045,,0.000235,0.04254,0.028513,,,0.010941,0.001282,0.000982,0.011802,0.00854,,,0.000102,0.005932,,0.000225,0.000061,,,,,0.00002,,,,
G35356,0.000919,,0.004123,0.00443,0.111983,0.00005,,0.000176,0.000497,0.01141,0.012172,0.000182,,,0.00048,0.010153,,,,,,,,,,,0.000017,
G35359,0.000196,,0.000007,0.006279,0.028864,0.000621,,0.016901,0.008685,,0.000184,0.000327,,0.000007,0.000007,0.00486,,0.001739,,,,0.000014,,,,,0.000143,
G35361,0.000075,,0.000018,0.022978,0.007649,0.012927,,0.013416,0.00017,,0.000341,0.000132,,0.000042,0.00012,0.002129,,0.000261,,,,0.000018,,0.000185,0.000006,,0.000161,
G35364,0.000083,,,0.011168,0.007253,0.003786,,0.019596,0.001559,0.00001,0.001012,0.000522,,0.001711,0.000094,0.003317,,0.002326,,,,0.000031,,0.000094,,,0.003046,
G35365,0.00013,,,0.03474,0.021829,0.006949,,0.009057,0.000395,,0.002642,0.002131,,,0.000074,0.004987,,0.000296,0.000297,,,,,,,,0.00013,
G35366,0.000495,,,0.041972,0.023818,0.000328,0.000014,0.012079,0.000335,,0.004533,0.000014,,0.000128,0.000457,0.003101,,0.002711,0.000043,,,,,0.000014,0.000071,,0.005394,
G35368,0.000744,,0.000163,0.019641,0.033181,0.003333,,0.015547,0.000602,,0.008963,0.005739,0.000426,0.000276,0.001002,0.010998,,,0.001441,,,0.00005,,0.000551,,,0.144826,
G35370,0.001574,,0.000025,0.001084,0.034343,0.000025,0.000025,0.01565,0.000804,,0.166721,0.002795,,0.007716,0.00136,0.011033,,0.000099,0.000025,0.000025,,,,,,,0.090687,
G35372,0.00426,,0.000368,0.000623,0.064352,0.000425,,0.016528,0.001217,,0.018852,0.000085,,0.000113,0.002066,0.021147,,0.000623,,,,,,0.000028,,,,
G35373,0.015823,,0.000354,0.000141,0.067351,0.000022,,0.005318,0.000376,,0.013724,0.000022,,,0.01516,0.069472,,,,,,0.000022,,,,,0.000044,
G35374,0.010953,,0.000252,0.000314,0.104259,0.000042,,0.000337,0.006852,,0.031915,0.000021,,,0.007837,0.023018,,,,,,,,,,,0.000042,
G35381,0.000024,,0.000012,0.032639,0.002542,0.003086,,0.014163,0.000564,,0.005823,0.004189,,0.000012,0.000446,0.000439,,0.000278,,0.000024,,,,0.000024,,,0.060891,
G35386,0.000109,,0.000011,0.021558,0.014972,0.03291,,0.013618,0.00554,,0.000034,0.002516,,0.000011,0.0004,0.004443,,0.000841,,,,0.00016,,0.001738,,,0.011241,
G35387,0.000324,,,0.021618,0.008285,0.012374,,0.015116,0.003606,0.000016,0.000924,0.001259,0.000751,,0.00025,0.006544,0.000016,0.000235,0.000939,,,0.000031,,0.00119,0.000235,,0.06559,
G35388,0.000429,,,0.003706,0.105284,,,0.024245,0.005681,,0.003864,,,0.000143,,0.017551,,0.000715,,,,,,0.000057,,,,
G35390,0.000676,,0.006258,0.001826,0.063358,0.000054,,0.000762,0.025208,0.000064,0.120311,0.000236,,0.003445,0.000193,0.027479,,0.007842,0.000011,,,,,,0.000011,,0.000021,
G35391,0.0001,,0.000026,0.012457,0.0176,0.000423,,0.013117,0.014752,0.000035,0.000078,0.002758,,0.000086,0.000354,0.000998,,0.002264,,0.000026,,0.000035,,0.000138,0.000009,,0.000026,
G35392,0.000328,,0.000027,0.033805,0.001186,,0.000981,0.02403,0.000954,,0.00679,0.000675,0.000027,0.000055,0.001444,0.000768,0.000055,0.007625,,,,0.000027,,0.000082,0.000245,,,
G35394,0.000313,,0.000052,0.020206,0.000718,,0.000261,0.023161,0.001138,,0.003208,0.000569,0.000017,,0.000625,0.00034,,0.007714,,0.000625,,0.000017,,,0.000521,,0.000017,
