samples,p__Actinobacteria,p__Bacteroidetes,p__Cyanobacteria,p__Firmicutes,p__Fusobacteria,p__Proteobacteria,p__Tenericutes,p__Verrucomicrobia
G35348,0.00687,0.107996,,0.002364,,0.014488,,0.000025
G35349,0.030363,0.019813,,0.016074,,0.04063,,
G35350,0.004831,0.036134,,0.014829,,0.019578,,0.000016
G35351,0.010318,0.020667,,0.009971,0.000008,0.000911,,0.002927
G35352,0.026884,0.020221,,0.01954,,0.017337,,0.000021
G35354,0.021312,0.012305,,0.009929,,0.043012,,0.000027
G35355,0.017028,0.04254,0.00002,0.00906,,0.008388,,
G35356,0.060658,0.00443,,0.002804,,0.010025,,0.000017
G35359,0.016956,0.006279,,0.013063,0.000007,0.00064,,0.000143
G35361,0.003648,0.022978,0.000185,0.01014,0.000042,0.003857,,0.000161
G35364,0.003846,0.011168,0.000094,0.01622,0.001711,0.001313,,0.003046
G35365,0.011036,0.03474,,0.008073,,0.0028,,0.00013
G35366,0.012111,0.041972,0.000014,0.009351,0.000128,0.002128,,0.005394
G35368,0.016927,0.017506,0.000551,0.013062,0.000276,0.004561,,0.144826
G35370,0.016461,0.001084,,0.012869,0.007716,0.047663,,0.090687
G35372,0.043983,0.000623,0.000028,0.015598,0.000113,0.009688,,
G35373,0.048458,0.000141,,0.017721,,0.004589,,0.000044
G35374,0.066526,0.000314,,0.007666,,0.02129,,0.000042
G35381,0.001257,0.032639,0.000024,0.010602,0.000012,0.001898,,0.060891
G35386,0.009783,0.021558,0.001738,0.011104,0.000011,0.005803,,0.011241
G35387,0.005368,0.019721,0.00119,0.011893,,0.002808,,0.06559
G35388,0.071499,0.003706,0.000057,0.02246,0.000143,0.00229,,
G35390,0.032258,0.001826,,0.007475,0.003445,0.018003,,0.000021
G35391,0.012335,0.012457,0.000138,0.010346,0.000086,0.000732,,0.000026
G35392,0.000841,0.030427,0.000082,0.016047,0.000055,0.005709,,
G35394,0.00079,0.018371,,0.016387,,0.002606,,0.000017
G35395,0.002365,0.022512,0.000034,0.014278,0.000011,0.003002,,0.000034
G35397,0.001437,0.004881,0.000169,0.028558,,0.000685,,
G35398,0.001283,0.012565,0.000217,0.015891,0.000244,0.005882,,
G35403,0.004161,0.009382,0.00002,0.015084,,0.007958,,0.050978
G35404,0.043476,0.037163,,0.004731,,0.01412,,
G35406,0.000738,0.012695,0.000011,0.016368,,0.001431,,0.056341
G35407,0.000139,0.028155,,0.009226,,0.001344,,0.034065
G35409,0.000707,0.002415,,0.021537,,0.001012,,0.000018
G35412,0.015244,0.010438,0.000052,0.010207,,0.003164,,
G35414,0.035941,0.056221,,0.011702,,0.085686,,0.000027
G35416,0.031067,0.02935,,0.010733,,0.020412,,0.000086
G35417,0.031084,0.026139,,0.008821,,0.026478,,0.000027
G35418,0.014639,0.006299,0.000046,0.012158,,0.001572,,0.000115
G35419,0.004208,0.010917,0.006817,0.019182,,0.008132,,0.000102
G35421,0.014801,0.012664,,0.013161,,0.001509,,0.03129
G35422,0.013533,0.013344,0.000387,0.012664,,0.002621,,0.00001
G35423,0.002794,0.025681,,0.012665,0.00002,0.02981,,0.000039
G35424,0.003154,0.026963,,0.015534,,0.014685,,0.000029
G35433,0.018735,0.053118,,0.012705,,0.033615,,
G35437,0.025157,0.016663,,0.016232,,0.00296,,
G35441,0.007831,0.000056,,0.0196,0.000167,0.012751,,
G35442,0.003473,0.021286,,0.007589,,0.007316,,0.153005
G35443,0.001709,0.039547,0.000073,0.012138,0.000024,0.010862,,
G35444,0.029889,0.025192,0.001413,0.008479,,0.015104,,0.000035
G35445,0.012039,0.011599,0.002632,0.033148,,0.017153,,
G35447,0.02456,0.03684,0.000197,0.020405,0.00197,0.004203,,
G35448,0.013644,0.016111,0.001421,0.023136,,0.012572,,
G35449,0.006569,0.053982,0.0002,0.005306,0.000273,0.009347,,
G35453,0.001256,0.020154,0.000628,0.01258,,0.00077,,0.000283
G35455,0.001387,0.021208,0.00013,0.009443,,0.000504,,0.009713
G35458,0.003312,0.020632,0.003123,0.010897,0.000029,0.001545,,0.020558
G35462,0.002067,0.005698,0.000296,0.014767,0.000093,0.001355,,0.003091
G35463,0.014234,0.009059,0.000082,0.015362,,0.00098,,
G35464,0.023052,0.037743,,0.00706,,0.009286,,0.000011
G35465,0.005768,0.023536,0.000022,0.008849,,0.000719,,0.000186
G35467,0.000609,0.044759,0.000041,0.007862,,0.000534,,0.000027
G35469,0.005459,0.020267,0.000006,0.010459,0.000075,0.000817,,0.048957
G35470,0.008824,0.025911,,0.010662,,0.000411,,0.06019
G35473,0.001908,0.022838,0.001292,0.007963,,0.000272,,0.108532
G35475,0.007867,0.002272,0.000395,0.016377,0.000044,0.00133,,0.000292
G35476,0.006767,0.037337,0.002169,0.010254,0.000049,0.007453,,0.000674
G35477,0.004552,0.019543,0.000073,0.010143,0.00051,0.004916,,0.000024
G35480,0.038085,0.029728,,0.011095,,0.010272,,
G35481,0.078854,0.004535,,0.012665,,0.031638,,0.000049
G35484,0.000688,0.027864,0.001036,0.006645,,0.001552,,0.018212
G35486,0.025889,0.022762,0.000082,0.0127,,0.002035,,0.000016
G35487,0.010179,0.008998,0.000014,0.015944,0.000014,0.003811,,0.000084
G35490,0.017855,0.0121,0.001008,0.014323,0.000129,0.005355,,
G35495,0.042204,0.035122,,0.005887,,0.021365,,
G35497,0.036072,0.050582,,0.001972,,0.047002,,0.000023
G35498,0.015312,0.061903,,0.00092,,0.025094,,
G35504,0.001759,0.059508,0.000313,0.009162,0.000051,0.004323,,0.050464
G35505,0.00502,0.044647,,0.008288,,0.010109,,0.044176
G35510,0.002635,0.283617,,0.001397,,0.018032,,
G35511,0.023226,0.170541,,0.015915,,0.00512,,
G35512,0.000709,0.024555,0.000176,0.013149,,0.001728,,0.002566
G35513,0.004089,0.033902,0.000574,0.016061,,0.0008,,0.008854
G35514,0.002254,0.018219,0.000703,0.017133,0.000747,0.00683,,0.000308
G35515,0.00592,0.139856,,0.008336,,0.005141,,
G35516,0.012214,0.07119,,0.00179,,0.031442,,
G35517,0.005757,0.029832,0.000016,0.007986,0.000016,0.009623,,0.000591
G35518,0.008013,0.023557,0.0027,0.007324,0.000042,0.007272,,0.073141
G35519,0.008925,0.027291,0.00003,0.008653,,0.011931,,0.00002
G35520,0.009339,0.0409,0.000502,0.010806,,0.014827,,0.00069
G35521,0.006461,0.083791,,0.008315,,0.023796,,
G35522,0.003834,0.042544,,0.015838,,0.057246,,
G35523,0.009045,0.071689,,0.002339,,0.017399,,0.000026
G35524,0.008998,0.057737,,0.012484,,0.048074,,
G35525,0.053402,0.013467,,0.001539,,0.061684,,
G35526,0.07611,0.000284,0.000775,0.002452,,0.022525,,
G35527,0.053205,0.007609,,0.003472,,0.013031,,
G35528,0.006586,0.043428,0.000385,0.009393,0.000048,0.005085,,0.000016
G35529,0.0109,0.07859,,0.012594,0.000092,0.007571,,
