"","Dim1","Dim2","type"
"G35348",-0.299461659280865,-0.307473542712454,"samples"
"G35349",-0.209641236642841,0.0975219954126728,"samples"
"G35350",-0.215394877907488,-0.138014350521643,"samples"
"G35351",0.193465341481184,-0.0155154870649247,"samples"
"G35352",-0.173422973110105,0.113217842048504,"samples"
"G35354",-0.467753254305865,0.196932573756758,"samples"
"G35355",-0.316650929632392,-0.0752625449412128,"samples"
"G35356",-0.418510960395875,0.33440985346182,"samples"
"G35359",0.190310639873568,0.254372040240543,"samples"
"G35361",0.17013246689905,0.247916739697804,"samples"
"G35364",0.112563970732878,0.191524243232789,"samples"
"G35365",-0.116253160590508,-0.109032274499607,"samples"
"G35366",0.0116311662171991,0.240761178698312,"samples"
"G35368",-0.246824814760825,0.329191060294808,"samples"
"G35370",-0.420724786744286,0.307543534534667,"samples"
"G35372",-0.441719407765469,0.376668278360874,"samples"
"G35373",-0.435835085711741,0.369716431177628,"samples"
"G35374",-0.448403735043026,0.366987551381816,"samples"
"G35381",0.188329991517746,-0.177255454623575,"samples"
"G35386",0.20231259154696,-0.0389190656908344,"samples"
"G35387",0.215714737833533,-0.00776674433534486,"samples"
"G35388",-0.30226974797747,0.33940400333713,"samples"
"G35390",-0.433035185121716,0.338072951765128,"samples"
"G35391",0.165030539239532,0.0344462149590861,"samples"
"G35392",0.0384839720695789,-0.118833362625167,"samples"
"G35394",0.230720535885624,-0.0256597483980659,"samples"
"G35395",0.231257652834344,0.0135143684680096,"samples"
"G35397",0.319662227524986,0.183336388817553,"samples"
"G35398",0.271174253437384,0.102407396004962,"samples"
"G35403",0.204017704174262,0.162000961712092,"samples"
"G35404",-0.412945263109424,-0.136414422713906,"samples"
"G35406",0.259031181995116,-0.0497774363582406,"samples"
"G35407",0.111700246724988,-0.284539766477355,"samples"
"G35409",0.261356188927762,0.220437853441989,"samples"
"G35412",0.205921937323536,0.124150596623644,"samples"
"G35414",-0.255325274120692,-0.140964802820459,"samples"
"G35416",-0.239644216045973,-0.0376692005501346,"samples"
"G35417",-0.279273272269281,-0.0612763623500904,"samples"
"G35418",0.223140432527759,0.175092225237533,"samples"
"G35419",0.202746796286681,0.0427539947790419,"samples"
"G35421",0.265464188443271,0.0947001013710476,"samples"
"G35422",0.21404116092155,0.0966331212933742,"samples"
"G35423",0.0427749992936948,-0.0766147639625941,"samples"
"G35424",-0.059436658054344,-0.0833509921597627,"samples"
"G35433",-0.313142479666518,-0.050272943759058,"samples"
"G35437",0.143747260325911,0.192242341146339,"samples"
"G35441",0.0959534181963873,0.231276160502061,"samples"
"G35442",0.0735368392084692,-0.14635848628428,"samples"
"G35443",-0.119261234086034,-0.197607596340836,"samples"
"G35444",-0.266300623428197,0.0916595975062217,"samples"
"G35445",-0.17226925006832,0.229852854062086,"samples"
"G35447",-0.241183652199248,-0.000831769792319196,"samples"
"G35448",-0.147350423541069,0.130992402479504,"samples"
"G35449",-0.158087678109455,-0.269784288275086,"samples"
"G35453",0.288442601570362,-0.046482791758328,"samples"
"G35455",0.271456592715408,0.0429250889380264,"samples"
"G35458",0.240842172837755,-0.106131844487061,"samples"
"G35462",0.275272501210116,0.150189063738162,"samples"
"G35463",0.168657981805815,0.184470350068911,"samples"
"G35464",-0.396299988508545,-0.0358392705096444,"samples"
"G35465",0.145342835684113,-0.106095392913485,"samples"
"G35467",0.142971581142849,-0.263132978567658,"samples"
"G35469",0.238248794428248,-0.0881550287384355,"samples"
"G35470",0.0983319878331175,-0.15476240945692,"samples"
"G35473",0.166657289211188,-0.146195486179782,"samples"
"G35475",0.229920533194245,0.205273722713299,"samples"
"G35476",0.149636892733085,-0.156434492224291,"samples"
"G35477",0.211806361975438,0.04188926014074,"samples"
"G35480",-0.358234033650219,-0.0958455199279834,"samples"
"G35481",-0.371611973557786,0.323652203513915,"samples"
"G35484",0.18469015443415,-0.207092927420663,"samples"
"G35486",0.0145578353963073,-0.0655282362242289,"samples"
"G35487",0.101405813854681,0.120713368215932,"samples"
"G35490",-0.218149643075251,0.306429182793669,"samples"
"G35495",-0.465252062593827,0.291002462154459,"samples"
"G35497",-0.433293817393306,-0.1730628164503,"samples"
"G35498",-0.406276254695692,-0.240616614746565,"samples"
"G35504",0.0501350215721345,-0.241260183176267,"samples"
"G35505",-0.00134916206502884,-0.169176640691073,"samples"
"G35510",-0.317214839244383,-0.344457615421777,"samples"
"G35511",-0.162802249260045,-0.215850980683013,"samples"
"G35512",0.256324811392624,-0.0810610175633881,"samples"
"G35513",0.177312065930532,-0.156611470018915,"samples"
"G35514",0.252621436658034,0.0316024683124256,"samples"
"G35515",-0.203905390624187,-0.273775750142981,"samples"
"G35516",-0.36064801865177,0.13128906269547,"samples"
"G35517",0.0732449843429753,-0.146999941076053,"samples"
"G35518",0.0943927087758337,-0.15715384344968,"samples"
"G35519",0.141360010305628,-0.119209083138278,"samples"
"G35520",0.144504356446889,-0.117503784570372,"samples"
"G35521",-0.182116844113123,-0.155029561000936,"samples"
"G35522",-0.0780259248399602,-0.136413363684494,"samples"
"G35523",-0.366311663741774,-0.242407469686265,"samples"
"G35524",-0.17924998039463,-0.215293665608823,"samples"
"G35525",-0.408039738199172,0.178013791567468,"samples"
"G35526",-0.480131121714791,0.325338767824403,"samples"
"G35527",-0.369635550748791,0.254500318881157,"samples"
"G35528",0.0284053755181883,-0.160846043678282,"samples"
"G35529",0.0327098784757163,-0.138451035833566,"samples"
"G35530",0.0013878783727219,-0.193560596356751,"samples"
"G35531",0.000298917188078341,-0.140633245133493,"samples"
"G35532",0.0183774282935282,-0.0911498477455146,"samples"
"G35533",-0.00302231289633057,-0.127138658070606,"samples"
"G35534",0.0339863606326122,0.00620861396462616,"samples"
"G35535",0.191721736130047,-0.0344503849054897,"samples"
"G35536",0.223488618067978,0.0292846186303646,"samples"
"G35537",0.189989151215264,-0.0884015205339873,"samples"
"G35867",-0.0137280289616251,-0.15380802009817,"samples"
"G35868",-0.455189025966728,-0.184830571042342,"samples"
"G35869",-0.297533789252325,0.307217047609194,"samples"
"G35874",-0.358036791153213,0.329000618144728,"samples"
"G35876",0.0828742862184054,0.0587865070668745,"samples"
"G35878",0.0106773625384891,-0.0170885693179656,"samples"
"G35881",-0.00249040094205996,-0.222322705217491,"samples"
"G35891",-0.129041118831082,0.184404446259378,"samples"
"G35892",0.229103395508373,-0.128019698876487,"samples"
"G35894",0.282859840829858,0.174770763182564,"samples"
"G35898",0.0628402280085375,-0.100908728180477,"samples"
"G35900",0.170094183933101,-0.239524694927778,"samples"
"G35901",-0.105071600029133,0.0365098924391484,"samples"
"G35902",-0.372701322836173,0.164050278548498,"samples"
"G35906",0.230495709813096,-0.161544550268081,"samples"
"G35908",0.323262323683098,0.110118936662288,"samples"
"G35915",-0.0218874768994164,-0.149849521122947,"samples"
"G35923",-0.0384710803436024,-0.125361047129267,"samples"
"G35924",0.120781052534103,0.137330954513457,"samples"
"G35925",0.171428778880151,-0.0905938463343008,"samples"
"G35926",0.154354523064066,-0.143820376316921,"samples"
"G35928",-0.350007180750075,-0.290350171899403,"samples"
"G35932",0.234762839400177,0.136523847179596,"samples"
"G35933",0.154133888743431,-0.0791438411769255,"samples"
"G35934",0.213783104289255,0.0444706450530261,"samples"
"G35936",0.183469344315247,-0.0554065172095928,"samples"
"G35937",-0.293787384748141,0.14471125587533,"samples"
"G35938",0.183002737428573,0.227100342035051,"samples"
"G35939",0.114933521947606,-0.193295060516834,"samples"
"G35940",0.177899019896434,-0.0568565138775616,"samples"
"G35941",0.140662898204418,-0.232947162749473,"samples"
"G35942",0.238457363394642,0.0661106667376302,"samples"
"G35944",0.137136970672177,0.03177300252946,"samples"
"G35945",0.26906602896941,0.0392914705633822,"samples"
"G35946",0.0710531529091999,-0.159908378703111,"samples"
"G35947",0.0129717400589584,-0.225363580468603,"samples"
"G35948",0.147363259896117,-0.173553326963254,"samples"
"G35950",-0.306015784043647,-0.0841824000690866,"samples"
"G35951",0.0899928287740155,-0.178124701510546,"samples"
"G35952",0.112105851755261,-0.250587262857097,"samples"
"G35953",0.110951582856884,-0.258772111731062,"samples"
"G35954",0.101386732312538,-0.223598508824439,"samples"
"G35955",0.155602178377487,-0.157064471829062,"samples"
"G35956",-0.449459903915413,-0.208781407151859,"samples"
"G35957",-0.4230616555874,-0.246214915424693,"samples"
"G35958",-0.422675957580879,-0.262751720410904,"samples"
"G35959",-0.467536904934143,-0.0220291772826555,"samples"
"G35960",0.0744667449867584,0.234775695164263,"samples"
"G35961",0.153845320721062,0.0696423790429755,"samples"
"G35962",0.166333148010549,0.00223627657655618,"samples"
"G35963",0.0681763147544888,-0.154438900930719,"samples"
"G35965",0.124556074987491,-0.230138047051382,"samples"
"G35966",0.156231619221947,-0.11702024620529,"samples"
"G35967",0.120801856028524,-0.20084500530792,"samples"
"G35969",-0.332808692227948,0.139053642971716,"samples"
"G35970",-0.384991573963711,-0.0164701309976501,"samples"
"G35971",-0.375691698596198,-0.310799310963689,"samples"
"G35972",-0.395260029723199,0.249810293353173,"samples"
"G35973",-0.372891291365222,-0.0726159339572455,"samples"
"G35974",0.0455026476637858,0.106621629658986,"samples"
"G35975",-0.0694922755324261,0.167799583584701,"samples"
"G35976",0.137049493581846,0.211547064629965,"samples"
"G35977",0.105179855932547,0.237977182332803,"samples"
"G35978",-0.308974067037149,0.270950441694482,"samples"
"G35979",-0.216647515200813,0.284249501194181,"samples"
"G35980",-0.0253986278482798,0.215986577891601,"samples"
"G35981",0.0310600251055487,0.224296372622532,"samples"
"G35982",0.00662795670524648,0.221293517594222,"samples"
"G35983",0.0591068305891549,0.159956648953678,"samples"
"G35984",0.308033823087663,0.0794299090750335,"samples"
"G35985",-0.113520495931939,-0.0858070505476138,"samples"
"G35986",-0.323481014057341,-0.0115012954548484,"samples"
"G35987",-0.153151751013651,0.0764488320040803,"samples"
"G35988",-0.433914643465911,0.255021576087407,"samples"
"G35989",-0.423126765675549,0.0576604148152241,"samples"
"G35990",-0.374178197511702,0.219733114535343,"samples"
"G35991",-0.0980786117040456,0.258828097262682,"samples"
"G35992",-0.0562033226850122,0.0397439963466762,"samples"
"G35993",-0.127988741312501,0.0907920913800902,"samples"
"G35994",-0.293491234471876,0.185102250050444,"samples"
"G35995",-0.487419085592423,-0.125404837866149,"samples"
"G35996",0.275857566205142,0.104182881625059,"samples"
"G35997",0.295855729968773,0.251194178787654,"samples"
"G35998",0.181848302246431,0.145186965313337,"samples"
"G35999",0.143595384738925,0.125565151118806,"samples"
"G36000",0.270160736295854,0.155954414640392,"samples"
"G36001",0.18701117183469,0.257815939812181,"samples"
"G36002",0.0541925524364701,0.243410816535734,"samples"
"G36003",0.280280293403151,0.217605494539069,"samples"
"G36004",-0.0417079767299256,-0.25729094933106,"samples"
"G36005",-0.15845602181173,-0.263009958386709,"samples"
"G36006",-0.302909476458524,-0.240231573594247,"samples"
"G36007",-0.407005946029911,0.1319872719849,"samples"
"G36008",0.235031640941733,-0.0317460373826981,"samples"
"G36010",0.255092572710367,0.0257974877808518,"samples"
"G36011",0.178719719156492,-0.115883783718873,"samples"
"G36012",0.201269960379335,-0.0576896269525638,"samples"
"G36013",0.145615474349046,-0.000832945027314916,"samples"
"G36015",0.188485673261773,-0.0635453285103728,"samples"
"G36016",0.224801520368217,0.0768168959812073,"samples"
"G36017",0.217135235414736,-0.0601067662715847,"samples"
"G36018",0.205343427645587,-0.0786268181287865,"samples"
"G36019",0.232910232108008,0.0426092367333078,"samples"
"G36020",-0.286902654295277,-0.0480089300730776,"samples"
"G36021",-0.337837011873189,-0.250492672126397,"samples"
"G36022",0.231407264258437,6.10475354621114e-05,"samples"
"G36023",0.316119259726949,0.0814361982395761,"samples"
"G36024",0.101610302674369,0.0329601362171815,"samples"
"G36025",-0.249317466979881,-0.340373015569666,"samples"
"G36026",-0.0336155778319526,-0.174958634363258,"samples"
"G36028",-0.285123778949189,0.0611911681114997,"samples"
"G36029",-0.260308568214964,-0.161098000265981,"samples"
"G36030",0.0681974299340784,-0.0587151284857793,"samples"
"G36031",-0.392230772165006,0.329235966264487,"samples"
"G36032",0.194098611997295,0.138171281152255,"samples"
"G36033",0.226122038972677,0.147325097619731,"samples"
"G36034",-0.319721735132807,-0.185188442001682,"samples"
"G36035",-0.342465595375474,0.142529068440546,"samples"
"G36036",-0.123734113861117,-0.0248835886070777,"samples"
"G36037",0.042311731758409,0.0293828737783107,"samples"
