"","Dim1","Dim2","type"
"3000044",-0.167795935661882,0.0928880408527224,"samples"
"3000052",-0.182606162925649,0.20158763274403,"samples"
"3000095",-0.195065114323081,0.237366307755753,"samples"
"3000100",-0.147371629575799,0.0878305158637783,"samples"
"3000102",-0.161566470669941,0.00906620607207611,"samples"
"3000139",-0.145591613183536,-0.0358642971373023,"samples"
"3000144",-0.161165522758669,-0.020003770452064,"samples"
"3000602",-0.112702458704803,0.0877344934167944,"samples"
"3000614",-0.0528909089418677,0.155624370031611,"samples"
"3000619",-0.187145807379079,0.0501437350254774,"samples"
"3000664",-0.105430391327371,0.00314634660974567,"samples"
"3000774",-0.206250325904153,0.126790138438181,"samples"
"3000785",-0.15908630472086,0.210173668498431,"samples"
"3000813",-0.225882215550526,0.119020550436279,"samples"
"3100007",-0.174653114942888,0.059266262318014,"samples"
"3100015",-0.167552872373154,0.159876526892605,"samples"
"3100020",-0.149699298581405,-0.0107667744038141,"samples"
"3100028",-0.207500492300752,0.0678669131615994,"samples"
"3100051",-0.125466792907248,0.0461198119590844,"samples"
"3100075",-0.198820688450277,-0.0591955135470657,"samples"
"3100076",-0.2155781101119,-0.0568723609746579,"samples"
"3100077",-0.279344459252506,-0.0919996237213195,"samples"
"3100078",-0.304646392484994,-0.104170965445748,"samples"
"3100079",-0.283312888129683,-0.112353885727342,"samples"
"3100080",-0.274578409107164,-0.109318738081781,"samples"
"3100081",-0.19582386059381,-0.126363962904106,"samples"
"3100082",-0.31784989490156,-0.00903013269786653,"samples"
"3100083",-0.239457621584844,0.0665930346696164,"samples"
"3100084",-0.292431837689823,-0.00120405619984103,"samples"
"3100086",-0.239919844303638,-0.131057338299886,"samples"
"3100087",-0.308449819236605,-0.00798145361507645,"samples"
"3100088",-0.354495398603178,0.032901126636561,"samples"
"3100090",-0.286223393563948,-0.156692951694159,"samples"
"3100091",-0.260862364176388,-0.116656872364888,"samples"
"3100092",-0.269439763789112,-0.0766491414766423,"samples"
"3100093",-0.334585317218097,-0.113792106896168,"samples"
"3100094",-0.303681656375821,-0.125270630211344,"samples"
"3100095",-0.126559079793524,0.0137881759295049,"samples"
"3100096",-0.147048259285783,-0.194149715641278,"samples"
"3100097",-0.196094491259582,-0.0517911218224778,"samples"
"3100098",-0.167692523216993,-0.0351011277417201,"samples"
"3100099",-0.161905108270344,-0.109268111785021,"samples"
"3100100",-0.231561350966865,-0.0234277840506486,"samples"
"3100101",-0.0975961778816611,-0.0347346080097454,"samples"
"3100103",-0.233483844638928,-0.0426423731682859,"samples"
"3100104",-0.335209351797424,-0.0825972739095612,"samples"
"3100105",-0.246764453966444,-0.15588729099833,"samples"
"3100107",-0.281136916838442,-0.0262092093266671,"samples"
"3100108",-0.317725584485753,-0.0696222249557484,"samples"
"3100109",-0.31589924511877,-0.0800033414997161,"samples"
"3100111",-0.187501556519202,0.169997928643354,"samples"
"3100112",-0.274555138482264,-0.0828800869281595,"samples"
"3100113",-0.364225376143038,-0.140736989149191,"samples"
"3100114",-0.187883184254091,-0.0735271308926738,"samples"
"3100115",-0.126965177670905,-0.000237068802783432,"samples"
"3100116",-0.254306087928561,-0.0880113894365026,"samples"
"3100118",-0.24319024381139,-0.100345927839778,"samples"
"3100119",-0.208719988253293,-0.0940757798968118,"samples"
"3100120",-0.256269480826564,-0.105678463299194,"samples"
"3100121",-0.310247079705791,-0.0808374222712096,"samples"
"3100122",-0.266138170760367,-0.0942571992898734,"samples"
"3100123",-0.16984864015314,-0.106648918419114,"samples"
"3100124",-0.134943527771636,0.065082719812224,"samples"
"3100125",-0.165031523727186,-0.0974860560380365,"samples"
"3100128",-0.267958141460354,-0.00224466918222311,"samples"
"3100129",-0.288883413052886,0.00275799360029843,"samples"
"3100130",-0.150549259621684,0.109496740533922,"samples"
"3100131",-0.176297486440169,0.0734696245117386,"samples"
"3100132",-0.294319540461367,-0.137906827015487,"samples"
"3100133",-0.323072440638999,-0.145715418553539,"samples"
"3100134",-0.276521926528303,-0.140014256850226,"samples"
"3100135",-0.0991647281279645,-0.0544482196923837,"samples"
"3100136",-0.316060900615317,-0.123679451788686,"samples"
"3100137",-0.164235693010277,0.0301463989789559,"samples"
"3100138",-0.257556527240526,0.0398387450438329,"samples"
"3100139",-0.299329734195999,-0.0865266705878276,"samples"
"3100141",0.148204713939937,0.191376253621342,"samples"
"3100142",-0.214723088567644,-0.059965490274214,"samples"
"3100143",-0.174971209660646,-0.140720311457827,"samples"
"3100144",-0.1293578254935,-0.206362554935547,"samples"
"3100145",-0.215420956958242,-0.032351864160658,"samples"
"3100146",-0.16734244192981,-0.0100561671397546,"samples"
"3100148",-0.10816911089202,-0.056901238562793,"samples"
"3100149",-0.218313157867472,-0.0234628310113331,"samples"
"3100150",-0.1550787086789,-0.0251934742127921,"samples"
"3100151",-0.141950383587381,0.0650402614437759,"samples"
"3100152",-0.164194429572067,-0.0626348858912471,"samples"
"3100153",-0.161058344950995,-0.0829537143846463,"samples"
"3100154",-0.268473855500293,-0.0183239129067751,"samples"
"3100155",-0.30652833099455,-0.176997990588468,"samples"
"3100156",-0.228573974106288,-0.194521728951713,"samples"
"3100157",-0.237430078006949,0.0144744436788487,"samples"
"3100158",-0.163816771431095,-0.0455987103662377,"samples"
"3100160",-0.267693592082364,-0.130887130882831,"samples"
"3100161",-0.136048460827736,-0.0224395378640861,"samples"
"3100162",-0.0909767404373291,-0.112912963833156,"samples"
"3100163",-0.126995155214842,-0.141563886427986,"samples"
"3100164",-0.0608207595081997,0.0651167045185071,"samples"
"3100167",0.126174341703614,-0.217960988895913,"samples"
"3100168",-0.297941091259539,-0.0888926808001482,"samples"
"3100169",-0.294410290717895,0.0419284617737541,"samples"
"3100170",-0.115568868068551,-0.131400173504065,"samples"
"3100171",-0.07921131863354,0.00276447121973738,"samples"
"3100173",-0.30558683853298,-0.0973263797332433,"samples"
"3100174",-0.298776845189298,-0.0802836294261312,"samples"
"3100175",-0.114684718104201,-0.145888651223961,"samples"
"3100176",-0.161987814597799,-0.0533597193061795,"samples"
"3100177",-0.169883936811897,-0.0474983677691746,"samples"
"3100179",-0.205077075055507,0.017702175847473,"samples"
"3100180",-0.306258196603652,-0.0492167625404634,"samples"
"3100181",-0.272752462347454,0.0150776174128107,"samples"
"3100182",-0.271276348721382,-0.0781476898587856,"samples"
"3100183",-0.147191734748801,-0.108128670277243,"samples"
"3100184",-0.138980036397816,-0.073984439735065,"samples"
"3100185",-0.146020266821228,-0.108032235544801,"samples"
"3100186",-0.109491983901724,-0.00223531106452017,"samples"
"3100187",-0.227761910336712,-0.111076912882578,"samples"
"3100188",-0.19927868883402,-0.0307247527269356,"samples"
"3100189",-0.0826056147485982,-0.0991006289478646,"samples"
"3100191",0.258437989148461,-0.0294510061018621,"samples"
"3100193",-0.28434242050545,-0.109800499484016,"samples"
"3100195",-0.199431035703796,0.181928264137651,"samples"
"3100196",-0.228693036473953,0.0289335092719369,"samples"
"3100197",-0.116444915055408,0.0365997368821076,"samples"
"3100199",-0.0975431063624722,-0.0729077983798002,"samples"
"3100200",-0.191197901881318,0.0494593272881709,"samples"
"3100201",-0.0695051356657934,0.0779050989567186,"samples"
"3100202",-0.316545145410141,-0.0832631101544476,"samples"
"3100204",-0.206030779757945,-0.115343147117757,"samples"
"3100205",-0.185618865774777,-0.097896721288198,"samples"
"3100206",-0.203355481573225,-0.135557011732704,"samples"
"3100210",-0.255931303377156,-0.0482605582987846,"samples"
"3100211",-0.253560934007018,0.0930084099435835,"samples"
"3100212",-0.349372525916418,-0.0973300877184026,"samples"
"3100213",-0.263603543679164,-0.0205897963055,"samples"
"3100214",-0.192170734819892,0.124883129862262,"samples"
"3100215",-0.125241459052837,0.118232645137656,"samples"
"3100216",-0.185384667816823,-0.0411772437430178,"samples"
"3100217",-0.0805182830982853,0.115259260652643,"samples"
"3100218",-0.0791339306574806,-0.121763387077744,"samples"
"3100219",-0.0782863641350838,-0.169264669433548,"samples"
"3100221",-0.299530038918331,0.0468125942253715,"samples"
"3100222",-0.215600925897007,-0.0215334149074731,"samples"
"3100223",-0.184048305633144,-0.112876817425276,"samples"
"3100224",-0.112298710786155,-0.12735642430616,"samples"
"3100225",0.0326036751246643,-0.224869683212135,"samples"
"3100226",-0.151068160503195,-0.169151552638332,"samples"
"3100227",-0.133562276552899,-0.0832653947914446,"samples"
"3100228",-0.167713990587802,-0.0440863743584477,"samples"
"3100232",-0.0660675646645334,-0.144394730269586,"samples"
"3100234",-0.109515443803982,-0.0153239593568568,"samples"
"3100235",-0.191203868494369,-0.212090738832307,"samples"
"3100236",-0.223097041861135,0.0187864224219784,"samples"
"3100237",-0.333224712381468,-0.159891075376326,"samples"
"3100238",-0.192947951110697,-0.0598441934815388,"samples"
"3100239",-0.0782676902832448,-0.0339845683827521,"samples"
"3100240",-0.192414114359108,0.0943503717849414,"samples"
"3100241",-0.154759759004669,-0.0981445554218309,"samples"
"3100242",-0.0953708675826705,-0.0964955240837197,"samples"
"3100243",-0.0505954756310197,-0.00303759137665328,"samples"
"3100244",-0.228311338802255,-0.140409330602939,"samples"
"3100245",-0.167913156068658,-0.204414195182974,"samples"
"3100246",-0.216292907959144,-0.169363977786574,"samples"
"3100247",-0.123867714941942,-0.142589049217761,"samples"
"3100248",-0.160582093679572,-0.151588297322384,"samples"
"3100249",-0.14279188230634,-0.145475518852031,"samples"
"3100250",-0.28247007609939,-0.0855624106260123,"samples"
"3100251",-0.302139739213017,-0.162362431101663,"samples"
"3100252",-0.0138358180040746,-0.284095131342234,"samples"
"3100253",-0.21356826342392,-0.16710454298383,"samples"
"3100254",-0.185961119430115,-0.11739834472202,"samples"
"3100255",-0.215165919456821,-0.121029018692239,"samples"
"3100256",-0.256059100651053,-0.0859338356061028,"samples"
"3100257",-0.307556811394364,-0.114847750961257,"samples"
"3100258",-0.0520466975833951,0.124129137597267,"samples"
"3100259",-0.209349079558647,-0.0767154645240254,"samples"
"3100260",-0.287295118182549,-0.116462787425858,"samples"
"3100261",-0.179723552366511,-0.0350519291217636,"samples"
"3100263",-0.105018580843652,-0.131715830296684,"samples"
"3100264",-0.214080116714106,-0.153322897467311,"samples"
"3100266",-0.270317519467451,-0.124312475449192,"samples"
"3100267",-0.25654795625659,-0.12396002005368,"samples"
"3100268",-0.289249263675646,0.00912409659073417,"samples"
"3100270",-0.199426729746387,-0.159292906053413,"samples"
"3100271",-0.185603504438471,-0.0309229429545402,"samples"
"3100272",-0.185958303498216,-0.150038368778208,"samples"
"3100273",-0.327290432010123,-0.110745649405428,"samples"
"3100274",-0.314539533627576,-0.208993600108993,"samples"
"3100275",-0.294291556232513,-0.176254369286717,"samples"
"3100276",-0.161714440660999,-0.168091003166306,"samples"
"3100278",-0.155823492015817,-0.142874156344812,"samples"
"3100279",-0.199551908599898,-0.0123264705204077,"samples"
"3100282",-0.27076242802457,-0.139789944248313,"samples"
"3100283",-0.306298921542071,-0.11743059490856,"samples"
"3100284",-0.383647319162676,-0.131742407972897,"samples"
"3100285",-0.172359118280069,0.034709206590108,"samples"
"3100286",-0.0974839282106629,-0.0607304182469876,"samples"
"3100287",-0.139690563582759,0.0955083155117395,"samples"
"3100289",-0.173906247382428,-0.0455100702901249,"samples"
"3100290",-0.104917388904176,-0.273241716808207,"samples"
"3100291",-0.350586121099281,-0.127414360357893,"samples"
"3100292",-0.292753261282938,-0.0470228726272791,"samples"
"3100293",-0.177213518250665,0.194731947975258,"samples"
"3100294",-0.152205731191321,-0.0778158918026853,"samples"
"3100295",-0.206279187442693,-0.0403574025689854,"samples"
"3100296",-0.171320351541552,-0.0517396495333881,"samples"
"3100298",-0.223371012989334,0.0285134882205249,"samples"
"3100300",-0.056689588055747,0.157039816213009,"samples"
"3100301",-0.191784590382069,-0.142295826103217,"samples"
"3100302",-0.202989002864737,-0.160219582022859,"samples"
"3100303",-0.319748804477899,-0.16537763216879,"samples"
"3100304",-0.196260983746148,-0.124956123028028,"samples"
"3100305",-0.144509197403942,-0.0967005585342108,"samples"
"3100306",-0.202761685801898,-0.21060031957623,"samples"
"3100307",-0.311193189413124,-0.0792945348354945,"samples"
"3100308",-0.332252973211718,-0.14502881269948,"samples"
"3100309",-0.268628721172277,-0.0854482049178292,"samples"
"3100310",-0.258890141784499,-0.193418972856979,"samples"
"3100311",-0.228144636464977,0.0647444848490313,"samples"
