samples,species,abu
3000044,k_species_001,0.000205
3000044,k_species_004,0.000002
3000044,k_species_005,0.000009
3000044,k_species_007,0.000001
3000044,k_species_010,0.000025
3000044,k_species_011,0.004861
3000044,k_species_013,0.000004
3000044,k_species_034,0.000002
3000044,k_species_042,0.000001
3000044,k_species_060,0.000002
3000044,k_species_061,0.000002
3000044,k_species_069,0.000035
3000044,k_species_071,0.000234
3000044,k_species_073,0.000042
3000044,k_species_074,0.000028
3000044,k_species_075,0.005834
3000044,k_species_189,0.000258
3000044,k_species_193,0.000309
3000044,k_species_194,0.000074
3000044,k_species_195,0.000078
3000044,k_species_197,0.000095
3000044,k_species_201,0.00001
3000044,k_species_224,0.00009
3000044,k_species_266,0.000002
3000044,k_species_295,0.002038
3000044,k_species_296,0.001048
3000044,k_species_297,0.000821
3000044,k_species_299,0.001135
3000044,k_species_301,0.000539
3000044,k_species_303,0.000385
3000044,k_species_312,0.023331
3000052,k_species_001,0.000205
3000052,k_species_002,0.000977
3000052,k_species_003,0.000412
3000052,k_species_004,0.000004
3000052,k_species_005,0.000009
3000052,k_species_010,0.000191
3000052,k_species_011,0.000005
3000052,k_species_016,0.000001
3000052,k_species_017,0.000001
3000052,k_species_025,0.000047
3000052,k_species_026,0.000111
3000052,k_species_027,0.000001
3000052,k_species_034,0.000037
3000052,k_species_037,0.000252
3000052,k_species_038,0.00223
3000052,k_species_039,0.000019
3000052,k_species_044,0.000001
3000052,k_species_046,0.000001
3000052,k_species_051,0.000003
3000052,k_species_060,0.000005
3000052,k_species_061,0.00029
3000052,k_species_062,0.000003
3000052,k_species_063,0.000054
3000052,k_species_069,0.000005
3000052,k_species_070,0.000031
3000052,k_species_071,0.000154
3000052,k_species_074,0.000001
3000052,k_species_192,0.000001
3000052,k_species_193,0.000425
3000052,k_species_194,0.000113
3000052,k_species_195,0.000103
3000052,k_species_197,0.000191
3000052,k_species_201,0.000017
3000052,k_species_224,0.000361
3000052,k_species_282,0.000349
3000052,k_species_294,0.000136
3000052,k_species_295,0.000081
3000052,k_species_296,0.000002
3000052,k_species_297,0.000746
3000052,k_species_301,0.00036
3000052,k_species_303,0.000096
3000095,k_species_003,0.000206
3000095,k_species_025,0.000187
3000095,k_species_034,0.000045
3000095,k_species_042,0.000158
3000095,k_species_044,0.000052
3000095,k_species_046,0.000001
3000095,k_species_049,0.001565
3000095,k_species_050,0.000007
3000095,k_species_051,0.000001
3000095,k_species_060,0.000077
3000095,k_species_061,0.000666
3000095,k_species_062,0.000003
3000095,k_species_069,0.000005
3000095,k_species_070,0.000124
3000095,k_species_071,0.000429
3000095,k_species_073,0.000114
3000095,k_species_074,0.000075
3000095,k_species_208,0.00004
3000095,k_species_216,0.000023
3000095,k_species_224,0.000271
3000095,k_species_295,0.000006
3000095,k_species_296,0.002465
3000095,k_species_299,0.000091
3000095,k_species_301,0.00018
3000095,k_species_303,0.000385
3000100,k_species_003,0.000618
3000100,k_species_007,0.000001
3000100,k_species_034,0.000026
3000100,k_species_039,0.00013
3000100,k_species_060,0.000051
3000100,k_species_070,0.000373
3000100,k_species_071,0.000808
3000100,k_species_072,0.000159
3000100,k_species_073,0.005839
3000100,k_species_074,0.000017
3000100,k_species_224,0.000271
3000100,k_species_233,0.013273
3000100,k_species_295,0.000006
3000100,k_species_296,0.000003
3000100,k_species_297,0.000075
3000100,k_species_299,0.000045
3000100,k_species_301,0.000629
3000100,k_species_303,0.000193
3000100,k_species_310,0.000879
3000102,k_species_004,0.000001
3000102,k_species_005,0.000007
3000102,k_species_007,0.000002
3000102,k_species_008,0.000143
3000102,k_species_010,0.000738
3000102,k_species_012,0.000003
3000102,k_species_025,0.000656
3000102,k_species_031,0.000035
3000102,k_species_034,0.001139
3000102,k_species_037,0.07711
3000102,k_species_039,0.000117
3000102,k_species_055,0.000001
3000102,k_species_056,0.000001
3000102,k_species_063,0.000096
3000102,k_species_070,0.000031
3000102,k_species_071,0.003032
3000102,k_species_191,0.000026
3000102,k_species_193,0.00009
3000102,k_species_194,0.000315
3000102,k_species_195,0.001137
3000102,k_species_197,0.000048
3000102,k_species_198,0.000167
3000102,k_species_201,0.002858
3000102,k_species_207,0.013557
3000102,k_species_208,0.000872
3000102,k_species_224,0.000181
3000102,k_species_226,0.002339
3000102,k_species_231,0.000136
3000102,k_species_233,0.000003
3000102,k_species_254,0.000001
3000102,k_species_260,0.000196
3000102,k_species_266,0.000002
3000102,k_species_275,0.001934
3000102,k_species_295,0.000004
3000102,k_species_296,0.002412
3000102,k_species_299,0.000295
3000139,k_species_001,0.001459
3000139,k_species_002,0.001303
3000139,k_species_005,0.000001
3000139,k_species_009,0.000003
3000139,k_species_014,0.022901
3000139,k_species_016,0.00005
3000139,k_species_027,0.000108
3000139,k_species_028,0.000059
3000139,k_species_034,0.000028
3000139,k_species_035,0.0001
3000139,k_species_037,0.000322
3000139,k_species_038,0.008501
3000139,k_species_039,0.00011
3000139,k_species_042,0.000001
3000139,k_species_051,0.000066
3000139,k_species_052,0.002275
3000139,k_species_054,0.002044
3000139,k_species_060,0.000456
3000139,k_species_061,0.00128
